,City,Cloudiness,Country,Humidity,Date,Lat,Lng,Max Temp,Windspeed
323,puerto escondido,5.0,MX,74.0,1576111247,15.86,-97.07,28.0,1.5
324,wewak,100.0,PG,74.0,1576111247,-3.55,143.63,27.89,0.93
326,nhulunbuy,20.0,AU,55.0,1576111247,-12.18,136.78,32.0,4.1
327,cedar city,1.0,US,69.0,1576111247,37.68,-113.06,4.0,2.1
328,emerald,0.0,AU,43.0,1576111247,-23.53,148.16,32.22,3.1
329,kavieng,78.0,PG,67.0,1576111247,-2.57,150.8,29.65,2.95
330,itaituba,56.0,BR,93.0,1576111247,-4.26,-55.99,23.88,1.02
331,sovetskaya,4.0,RU,9.0,1576111247,44.78,41.17,-3.33,0.89
332,hope,1.0,US,56.0,1576111247,33.67,-93.59,7.0,1.5
333,hofn,36.0,IS,60.0,1576111247,64.25,-15.21,1.59,14.5
334,mount isa,0.0,AU,14.0,1576111247,-20.73,139.49,38.0,5.7
335,ananas,6.0,HT,88.0,1576111247,19.25,-71.96,21.13,3.26
336,baruun-urt,0.0,MN,79.0,1576111247,46.68,113.28,-14.2,3.53
337,magadan,0.0,RU,74.0,1576111247,59.56,150.8,-19.27,3.9
339,pocone,98.0,BR,70.0,1576111247,-16.26,-56.62,27.31,2.03
340,kasongo-lunda,100.0,CD,90.0,1576111247,-6.48,16.82,20.21,0.56
341,araxa,100.0,BR,94.0,1576111240,-19.59,-46.94,20.0,2.1
342,upington,0.0,ZA,27.0,1576111247,-28.46,21.24,23.0,3.6
343,yar-sale,100.0,RU,92.0,1576111247,66.83,70.83,-11.55,3.55
345,caravelas,8.0,BR,92.0,1576111247,-17.73,-39.27,22.54,3.14
346,peabiru,81.0,BR,93.0,1576111247,-23.91,-52.35,20.56,1.5
348,nelson bay,75.0,AU,60.0,1576111248,-32.72,152.14,22.22,4.6
349,udayagiri,26.0,IN,88.0,1576111248,12.32,76.68,16.65,2.64
350,villa guerrero,71.0,MX,40.0,1576111248,21.98,-103.59,17.67,1.95
351,kudahuvadhoo,100.0,MV,87.0,1576111248,2.67,72.89,25.53,5.27
352,trat,34.0,TH,88.0,1576111248,12.25,102.51,25.56,1.0
353,vardo,1.0,US,77.0,1576111001,39.62,-77.74,1.11,8.2
354,ariquemes,99.0,BR,96.0,1576111248,-9.91,-63.03,23.46,1.1
355,manokwari,89.0,ID,81.0,1576111248,-0.87,134.08,25.62,1.71
356,babu,0.0,CN,76.0,1576111248,23.23,104.89,6.75,1.99
357,zemio,41.0,CF,86.0,1576111248,5.02,25.13,20.85,1.45
358,faya,89.0,SA,82.0,1576111248,18.39,42.45,15.0,1.03
359,bara,7.0,NG,16.0,1576111248,10.41,10.6,19.38,2.91
360,lima,90.0,PE,88.0,1576110508,-12.06,-77.04,20.0,5.1
361,saquarema,75.0,BR,94.0,1576111248,-22.93,-42.51,23.0,0.5
362,cockburn town,0.0,TC,79.0,1576111248,21.46,-71.14,26.32,8.62
363,severomuysk,100.0,RU,95.0,1576111248,56.17,113.57,-18.31,1.69
364,iqaluit,75.0,CA,77.0,1576111248,63.75,-68.52,-17.0,5.1
365,tecolutla,19.0,MX,59.0,1576111248,17.31,-98.74,18.8,0.75
366,ilulissat,5.0,GL,54.0,1576111248,69.22,-51.1,-17.0,1.5
367,kotido,1.0,UG,75.0,1576111248,3.01,34.12,20.91,2.96
368,santiago del estero,0.0,AR,33.0,1576111022,-27.8,-64.26,30.97,3.44
369,skowhegan,1.0,US,57.0,1576111248,44.77,-69.72,-3.89,1.36
372,rio gallegos,40.0,AR,87.0,1576111084,-51.62,-69.22,12.0,7.7
373,nantucket,40.0,US,80.0,1576110967,41.28,-70.1,-0.56,4.1
374,ketchikan,90.0,US,70.0,1576111249,55.34,-131.65,8.0,9.3
375,geraldton,20.0,CA,69.0,1576111249,49.72,-86.95,-25.0,2.6
376,boo,8.0,NG,20.0,1576111249,7.44,8.9,25.52,2.04
377,tabou,99.0,CI,90.0,1576111249,4.42,-7.36,24.42,1.23
378,xai-xai,8.0,MZ,98.0,1576111249,-25.04,33.64,20.05,1.93
379,puerto colombia,100.0,CO,78.0,1576111249,10.99,-74.96,27.0,7.2
380,ornskoldsvik,31.0,SE,93.0,1576111051,63.29,18.72,2.0,3.1
381,coahuayana,29.0,MX,48.0,1576111249,18.62,-100.35,25.12,0.83
382,alice springs,0.0,AU,11.0,1576111249,-23.7,133.88,35.0,6.7
